Event,Key,Team Number,Search Qualifier ,Team Name,Photo,Drive Train,One Word,Pit Scouting Notes,Average Score,Average Score Percentile,Percent of Alliance Score,Average Game Pieces Scored,Average Cones Scored,Average Cubes Scored,Average Auto Game Pieces Scored,Average Auto Cone Score,Average Auto Cube Score,Average Auto Cones ,Average Auto Cubes,Average Tele Game Pieces Scored,Average Tele Cone Score,Average tele Cube Score,Average Tele Cones,Average Tele Cubes,Mobility Percentage ,Auto Engaged Percentage ,Average Auto Score,Average Tele Score,Average Endgame Score,Total Whiffs auto,Total Docks Auto,Total Engages Auto,Total Whiffs Teleop,Total Parks Teleop,Total Docks Telop,Total Engages Teleop,Cycle Time,Preload Type,Cone/Cube Prefrence ,Buddy Climb,Focus Areas,Average Links,Avg total charge,Avg Auto Charge,Avg Tele Charge,Avg Rank Points,Calculated Average Score,Width,Mark
2022cmptx,frc4414,4414,2022cmptx-4414,HighTide,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc5188,5188,2022cmptx-5188,Area 5188: Classified Robotics,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc5338,5338,2022cmptx-5338,ACL RoboLoCo,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc5454,5454,2022cmptx-5454,Obsidian,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc5804,5804,2022cmptx-5804,TORCH,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc5940,5940,2022cmptx-5940,BREAD,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc604,604,2022cmptx-604,Quixilver,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc6328,6328,2022cmptx-6328,Mechanical Advantage,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc6429,6429,2022cmptx-6429,4th Dimension,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc6652,6652,2022cmptx-6652,Tigres,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc6672,6672,2022cmptx-6672,Fusion Corps,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc8027,8027,2022cmptx-8027,Not the Droids You Are Looking For,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc871,871,2022cmptx-871,Robotechs,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
2022cmptx,frc973,973,2022cmptx-973,Greybots,,,,,,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,_,,,,,0,0.00,0,0.0,,0.00,,
