Event,Key,Team Number,Search Qualifier ,Team Name,Photo,Drive Train,One Word,Pit Scouting Notes,Average Score,Average Score Percentile,Percent of Alliance Score,Average Game Pieces Scored,Average Cones Scored,Average Cubes Scored,Average Auto Game Pieces Scored,Average Auto Cone Score,Average Auto Cube Score,Average Auto Cones ,Average Auto Cubes,Average Tele Game Pieces Scored,Average Tele Cone Score,Average tele Cube Score,Average Tele Cones,Average Tele Cubes,Mobility Percentage ,Auto Engaged Percentage ,Average Auto Score,Average Tele Score,Average Endgame Score,Total Whiffs auto,Total Docks Auto,Total Engages Auto,Total Whiffs Teleop,Total Parks Teleop,Total Docks Telop,Total Engages Teleop,Cycle Time,Preload Type,Cone/Cube Prefrence ,Buddy Climb,Focus Areas,Average Links,Avg total charge,Avg Auto Charge,Avg Tele Charge,Avg Rank Points,Calculated Average Score,Width,Mark
2023micmp2,frc4391,4391,2023micmp2-4391,BraveBots,Pit Scouting_Images/f7950ac1.Picture.174306.jpg,Swerve,Fast,"Very versatile
Master of not quite anything but not there
Defence good (if necessary) 
Maneuverable
Auto placing",54.03,0.85,35.39%,8.08,5.42,2.67,1.67,5.50,4.50,0.92,0.75,6.42,16.25,6.08,4.5,1.92,100.00%,8.00%,21,22.33,8.67,11,0,1,0,2,0,10,21.03s,No Preference ,Neither,,,2,4.83,1,8.7,3.08,55.00,30.00,
2023micmp2,frc4392,4392,2023micmp2-4392,The Deceivers,Pit Scouting_Images/c1204868.Picture.152920.jpg,Swerve,Rambunctious,"Outgoing
3 piece auto
Human player shelf",47.38,0.59,37.55%,7.08,5.23,1.85,1.69,5.54,4.15,0.92,0.77,5.38,15,4.08,4.31,1.08,92.31%,0.00%,18.77,19.08,6.77,12,1,0,1,3,2,7,25.09s,Cone,Neither,,,1.69,3.69,0.6153846154,6.8,2.08,47.38,36.00,
2023micmp2,frc4405,4405,2023micmp2-4405,The Atoms Family,Pit Scouting_Images/54e02b2f.Picture.161443.jpg,Swerve,No,None,40.36,0.38,33.79%,4.58,3.25,1.33,0.92,0.75,4.33,0.17,0.75,3.67,13.17,1.58,3.08,0.58,50.00%,42.00%,16.61,14.75,7.5,7,0,5,1,1,3,7,36.78s,No Preference ,Cone ,,,1.31,6.25,5,7.5,1.58,40.36,31.00,
2023micmp2,frc4776,4776,2023micmp2-4776,S.C.O.T.S. Bots,Pit Scouting_Images/8f42f2a2.Picture.162338.jpg,Swerve,Scorpion,,38.47,0.36,30.48%,5.67,1.92,3.75,1.50,5.83,3.00,1.00,0.50,4.17,3.58,7.83,0.92,3.25,100.00%,0.00%,16.06,11.42,8,12,0,0,0,3,0,9,32.37s,Cone,Neither,,,1.44,4.00,0,8.0,2.50,38.47,32.00,
2023micmp2,frc4779,4779,2023micmp2-4779,RoboSapiens,Pit Scouting_Images/afc32476.Picture.152224.jpg,Swerve,Versitile,35 lbs metal slab to prevent tipping,47.15,0.87,35.34%,4.91,3.45,1.45,1.09,3.27,3.27,0.55,0.55,3.82,12,2.91,2.91,0.91,90.91%,64.00%,21.15,14.91,8.36,4,0,7,1,0,2,8,35.34s,No Preference ,Cone ,,,1.39,8.00,7.636363636,8.4,2.82,47.15,30.00,
2023micmp2,frc5114,5114,2023micmp2-5114,Titanium Tigers,Pit Scouting_Images/b31fe380.Picture.152451.jpg,Swerve,SpinnySliderSlippy(ICouldntPutSpacesInBetween),"Fast
Triple climb optimized size
Cones and cubes are both possible, shelf is fast",46.45,0.92,33.98%,4.82,3.73,1.09,0.91,4.91,0.55,0.82,0.09,3.91,10.91,3.27,2.91,1,100.00%,73.00%,22.36,14.18,6.91,3,0,8,1,2,2,6,34.53s,Cone,Cone ,,,1.64,7.82,8.727272727,6.9,2.55,46.45,31.00,
2023micmp2,frc5436,5436,2023micmp2-5436,Cyber Cats,Pit Scouting_Images/efb09ec8.Picture.152219.jpg,Swerve,Consistant,Balance in auto,40.67,0.31,32.98%,5.36,3.64,1.73,1.00,5.82,0.00,1.00,0.00,4.36,10.36,6.18,2.64,1.73,100.00%,9.00%,15.48,16.55,5.64,8,2,1,2,3,1,5,30.96s,Cone,Cone ,,,1.42,4.09,2.545454545,5.6,2.09,40.67,32.50,
2023micmp2,frc5535,5535,2023micmp2-5535,Bionic Bison,Pit Scouting_Images/1e6d1a55.Picture.151817.jpg,Swerve,Special,"Only cubes but really good
100% auto accuracy (2 piece cube auto)",34.81,0.13,27.47%,5.33,0.25,5.08,0.83,0.00,4.75,0.00,0.83,4.5,0.75,11.58,0.25,4.25,91.67%,0.00%,12.78,12.33,7.5,11,1,0,1,2,1,8,30s,Cube,Cube,,,1.47,4.08,0.6666666667,7.5,2.25,35.36,37.00,
2023micmp2,frc5612,5612,2023micmp2-5612,Robo-Raptors,Pit Scouting_Images/8afe4841.Picture.151701.jpg,Swerve,Defence,None,24.75,0.21,21.43%,1.5,0.17,1.33,0.83,0.50,3.00,0.08,0.75,0.67,0.17,1.33,0.08,0.58,58.33%,25.00%,13,1.5,8.5,8,1,3,1,0,2,9,201.49s,Cube,Cube,,,1.17,6.08,3.666666667,8.5,2.08,24.75,30.00,
2023micmp2,frc5675,5675,2023micmp2-5675,WiredCats,Pit Scouting_Images/14d7520b.Picture.161033.jpg,Swerve,Awesome,,52.09,1.00,41.33%,6.73,2.18,4.55,1.00,6.00,0.00,1.00,0.00,5.73,5.09,13.45,1.18,4.55,100.00%,82.00%,24.73,18.55,5.82,1,1,9,1,4,1,5,23.56s,Cone,Cube,,,1.64,8.18,10.54545455,5.8,2.73,52.09,36.50,
